Algorithm,File,BitLength,Number,Result,TimeUS,Iterations
miller,composites_128.txt,128,16152793580917604681...,0,453,5
miller,composites_128.txt,128,98718296340199305903...,0,442,5
fermat,composites_128.txt,128,14705070986216365197...,0,483,5
fermat,composites_128.txt,128,15612038007386535140...,0,467,5
fermat,composites_128.txt,128,17955558812952198912...,0,462,5
fermat,composites_128.txt,128,63823080899698761689...,0,446,5
fermat,composites_128.txt,128,84223671600504978871...,0,448,5
fermat,composites_128.txt,128,94373981937207946471...,0,441,5
fermat,composites_128.txt,128,10117654373057257661...,0,490,5
fermat,composites_128.txt,128,48511728691458990067...,0,447,5
fermat,composites_128.txt,128,90005374241750309291...,0,501,5
fermat,composites_128.txt,128,17087378696702132550...,0,442,5
fermat,composites_128.txt,128,26709457429663073539...,0,468,5
fermat,composites_128.txt,128,57986911935006285314...,0,441,5
fermat,composites_128.txt,128,27854208029506437085...,0,452,5
fermat,composites_128.txt,128,19692638416857864196...,0,442,5
fermat,composites_128.txt,128,15809234776092307805...,0,440,5
fermat,composites_128.txt,128,21443592988891236338...,0,452,5
fermat,composites_128.txt,128,12393254362947886625...,0,442,5
fermat,composites_128.txt,128,16920852524545751693...,0,464,5
fermat,composites_128.txt,128,16152793580917604681...,0,448,5
fermat,composites_128.txt,128,98718296340199305903...,0,452,5
miller,composites_2048.txt,2048,20739984196646267006...,0,4527,5
miller,composites_2048.txt,2048,15626626217375148920...,0,4249,5
miller,composites_2048.txt,2048,15916778237540817939...,0,4312,5
miller,composites_2048.txt,2048,58410851878353096052...,0,4291,5
miller,composites_2048.txt,2048,93718064081786191930...,0,5032,5
miller,composites_2048.txt,2048,15744509099731280997...,0,4345,5
miller,composites_2048.txt,2048,94743175886546695381...,0,4196,5
miller,composites_2048.txt,2048,14567160022209761738...,0,4624,5
miller,composites_2048.txt,2048,19116396085161941316...,0,6768,5
miller,composites_2048.txt,2048,49651806362294862295...,0,6720,5
miller,composites_2048.txt,2048,47472712269420846795...,0,6528,5
miller,composites_2048.txt,2048,13383187473314085301...,0,6243,5
miller,composites_2048.txt,2048,25754352323958190256...,0,6179,5
miller,composites_2048.txt,2048,14884944670144481421...,0,6095,5
miller,composites_2048.txt,2048,48017535261437357387...,0,6035,5
miller,composites_2048.txt,2048,24002807756668369181...,0,5995,5
miller,composites_2048.txt,2048,61343168349860530480...,0,5906,5
miller,composites_2048.txt,2048,12702982415675018649...,0,5828,5
miller,composites_2048.txt,2048,17882734281009039244...,0,5780,5
miller,composites_2048.txt,2048,16506385746490839327...,0,5692,5
fermat,composites_2048.txt,2048,20739984196646267006...,0,6205,5
fermat,composites_2048.txt,2048,15626626217375148920...,0,5740,5
fermat,composites_2048.txt,2048,15916778237540817939...,0,5994,5
fermat,composites_2048.txt,2048,58410851878353096052...,0,5626,5
fermat,composites_2048.txt,2048,93718064081786191930...,0,5560,5
fermat,composites_2048.txt,2048,15744509099731280997...,0,5572,5
fermat,composites_2048.txt,2048,94743175886546695381...,0,5499,5
fermat,composites_2048.txt,2048,14567160022209761738...,0,5468,5
fermat,composites_2048.txt,2048,19116396085161941316...,0,5437,5
fermat,composites_2048.txt,2048,49651806362294862295...,0,5312,5
fermat,composites_2048.txt,2048,47472712269420846795...,0,5252,5
fermat,composites_2048.txt,2048,13383187473314085301...,0,5265,5
fermat,composites_2048.txt,2048,25754352323958190256...,0,5242,5
fermat,composites_2048.txt,2048,14884944670144481421...,0,5170,5
fermat,composites_2048.txt,2048,48017535261437357387...,0,5092,5
fermat,composites_2048.txt,2048,24002807756668369181...,0,5107,5
fermat,composites_2048.txt,2048,61343168349860530480...,0,5014,5
fermat,composites_2048.txt,2048,12702982415675018649...,0,5006,5
fermat,composites_2048.txt,2048,17882734281009039244...,0,5001,5
fermat,composites_2048.txt,2048,16506385746490839327...,0,4926,5
miller,composites_256.txt,256,37173541400793120694...,0,564,5
miller,composites_256.txt,256,31492622215652495683...,0,536,5
miller,composites_256.txt,256,48975290141607509527...,0,522,5
miller,composites_256.txt,256,63317839970694185071...,0,527,5
miller,composites_256.txt,256,30970801973105751076...,0,521,5
miller,composites_256.txt,256,69574015246219560562...,0,528,5
miller,composites_256.txt,256,33444902600781323894...,0,521,5
miller,composites_256.txt,256,84989956097591847962...,0,528,5
miller,composites_256.txt,256,68337096327785973943...,0,527,5
miller,composites_256.txt,256,55572077735779543083...,0,521,5
miller,composites_256.txt,256,52284546693611498614...,0,525,5
miller,composites_256.txt,256,36150656822963617721...,0,532,5
miller,composites_256.txt,256,36078573000870651944...,0,550,5
miller,composites_256.txt,256,25736037088927869960...,0,544,5
miller,composites_256.txt,256,91976534988821271345...,0,551,5
miller,composites_256.txt,256,39186544535749440355...,0,543,5
miller,composites_256.txt,256,22225289298495170249...,0,549,5
miller,composites_256.txt,256,11411665092007746515...,0,544,5
miller,composites_256.txt,256,48469740727007770666...,0,552,5
miller,composites_256.txt,256,39485526819954313922...,0,1560,5
fermat,composites_256.txt,256,37173541400793120694...,0,501,5
fermat,composites_256.txt,256,31492622215652495683...,0,457,5
fermat,composites_256.txt,256,48975290141607509527...,0,481,5
fermat,composites_256.txt,256,63317839970694185071...,0,452,5
fermat,composites_256.txt,256,30970801973105751076...,0,462,5
fermat,composites_256.txt,256,69574015246219560562...,0,452,5
fermat,composites_256.txt,256,33444902600781323894...,0,450,5
fermat,composites_256.txt,256,84989956097591847962...,0,475,5
fermat,composites_256.txt,256,68337096327785973943...,0,451,5
fermat,composites_256.txt,256,55572077735779543083...,0,462,5
fermat,composites_256.txt,256,52284546693611498614...,0,450,5
fermat,composites_256.txt,256,36150656822963617721...,0,459,5
fermat,composites_256.txt,256,36078573000870651944...,0,450,5
fermat,composites_256.txt,256,25736037088927869960...,0,459,5
fermat,composites_256.txt,256,91976534988821271345...,0,452,5
fermat,composites_256.txt,256,39186544535749440355...,0,457,5
fermat,composites_256.txt,256,22225289298495170249...,0,451,5
fermat,composites_256.txt,256,11411665092007746515...,0,459,5
fermat,composites_256.txt,256,48469740727007770666...,0,451,5
fermat,composites_256.txt,256,39485526819954313922...,0,450,5
miller,composites_512.txt,512,52951661972964532312...,0,665,5
miller,composites_512.txt,512,15893522736699667959...,0,634,5
miller,composites_512.txt,512,39116969877150964201...,0,622,5
miller,composites_512.txt,512,24746093470203822996...,0,880,5
miller,composites_512.txt,512,59567153188484866371...,0,768,5
miller,composites_512.txt,512,38495042505448452165...,0,523,5
miller,composites_512.txt,512,63049194266330419223...,0,517,5
miller,composites_512.txt,512,40200321225020837518...,0,520,5
miller,composites_512.txt,512,51616140997824179997...,0,515,5
miller,composites_512.txt,512,20189349551140223982...,0,523,5
miller,composites_512.txt,512,38270634989530453046...,0,515,5
miller,composites_512.txt,512,85360538970484538107...,0,523,5
miller,composites_512.txt,512,37182422118983459076...,0,516,5
miller,composites_512.txt,512,92130573653361698461...,0,557,5
miller,composites_512.txt,512,36826668846591970795...,0,625,5
miller,composites_512.txt,512,55112704284938387257...,0,618,5
miller,composites_512.txt,512,33716776156043297771...,0,686,5
miller,composites_512.txt,512,32335213341862471821...,0,572,5
miller,composites_512.txt,512,69404838427480362920...,0,551,5
miller,composites_512.txt,512,41471154407929914337...,0,534,5
fermat,composites_512.txt,512,52951661972964532312...,0,554,5
fermat,composites_512.txt,512,15893522736699667959...,0,533,5
fermat,composites_512.txt,512,39116969877150964201...,0,516,5
fermat,composites_512.txt,512,24746093470203822996...,0,527,5
fermat,composites_512.txt,512,59567153188484866371...,0,520,5
fermat,composites_512.txt,512,38495042505448452165...,0,515,5
fermat,composites_512.txt,512,63049194266330419223...,0,528,5
fermat,composites_512.txt,512,40200321225020837518...,0,515,5
fermat,composites_512.txt,512,51616140997824179997...,0,523,5
fermat,composites_512.txt,512,20189349551140223982...,0,516,5
fermat,composites_512.txt,512,38270634989530453046...,0,525,5
fermat,composites_512.txt,512,85360538970484538107...,0,517,5
fermat,composites_512.txt,512,37182422118983459076...,0,525,5
fermat,composites_512.txt,512,92130573653361698461...,0,518,5
fermat,composites_512.txt,512,36826668846591970795...,0,525,5
fermat,composites_512.txt,512,55112704284938387257...,0,515,5
fermat,composites_512.txt,512,33716776156043297771...,0,526,5
fermat,composites_512.txt,512,32335213341862471821...,0,515,5
fermat,composites_512.txt,512,69404838427480362920...,0,596,5
fermat,composites_512.txt,512,41471154407929914337...,0,627,5
miller,primes_1024.txt,1024,13119070497051801493...,1,3704,5
miller,primes_1024.txt,1024,16086132743889285917...,1,3676,5
miller,primes_1024.txt,1024,14421176091024979162...,1,3662,5
miller,primes_1024.txt,1024,12498028711196618659...,1,3635,5
miller,primes_1024.txt,1024,11343432445433412012...,1,3704,5
miller,primes_1024.txt,1024,11366204683078096674...,1,3669,5
miller,primes_1024.txt,1024,10060419650140792190...,1,3172,5
miller,primes_1024.txt,1024,10044722014707545080...,1,3057,5
miller,primes_1024.txt,1024,11092562147750502443...,1,3046,5
miller,primes_1024.txt,1024,15640779222954768454...,1,3067,5
miller,primes_1024.txt,1024,14302400737283993739...,1,3061,5
miller,primes_1024.txt,1024,96003414161989212079...,1,2913,5
miller,primes_1024.txt,1024,92698321282324923975...,1,2906,5
miller,primes_1024.txt,1024,14726114374880676064...,1,3067,5
miller,primes_1024.txt,1024,10596366459941065145...,1,3027,5
miller,primes_1024.txt,1024,16373090479871813969...,1,3071,5
miller,primes_1024.txt,1024,11001465965019455383...,1,3040,5
miller,primes_1024.txt,1024,10285752175432497883...,1,3034,5
miller,primes_1024.txt,1024,17687551337966151738...,1,3070,5
miller,primes_1024.txt,1024,10339879697724684979...,1,3030,5
fermat,primes_1024.txt,1024,13119070497051801493...,1,2980,5
fermat,primes_1024.txt,1024,16086132743889285917...,1,2963,5
fermat,primes_1024.txt,1024,14421176091024979162...,1,2961,5
fermat,primes_1024.txt,1024,12498028711196618659...,1,2933,5
fermat,primes_1024.txt,1024,11343432445433412012...,1,2941,5
fermat,primes_1024.txt,1024,11366204683078096674...,1,2934,5
fermat,primes_1024.txt,1024,10060419650140792190...,1,2911,5
fermat,primes_1024.txt,1024,10044722014707545080...,1,2920,5
fermat,primes_1024.txt,1024,11092562147750502443...,1,2920,5
fermat,primes_1024.txt,1024,15640779222954768454...,1,2932,5
fermat,primes_1024.txt,1024,14302400737283993739...,1,2942,5
fermat,primes_1024.txt,1024,96003414161989212079...,1,2913,5
fermat,primes_1024.txt,1024,92698321282324923975...,1,2915,5
