Size,Run_ID,Time_Basic,Est_Basic,Err_Basic,Time_Strat,Est_Strat,Err_Strat,Time_Anti,Est_Anti,Err_Anti
10000,7,1,3.164,0.0224073,0.941,3.1492,0.00760735,0.569,3.1432,0.00160735
10000,8,1,3.152,0.0104073,0.962,3.148,0.00640735,0.482,3.1156,0.0259927
10000,9,0.776,3.1388,0.00279265,0.71,3.148,0.00640735,0.393,3.1512,0.00960735
10000,10,0.661,3.1512,0.00960735,0.63,3.1408,0.000792654,0.323,3.1524,0.0108073
20000,1,1.126,3.1116,0.0299927,1.053,3.1442,0.00260735,0.596,3.1584,0.0168073
20000,2,1.04,3.1356,0.00599265,1.003,3.138,0.00359265,0.571,3.1288,0.0127927
20000,3,1.051,3.1358,0.00579265,1.022,3.1388,0.00279265,0.647,3.1446,0.00300735
20000,4,1.066,3.1538,0.0122073,1.027,3.1394,0.00219265,0.594,3.1474,0.00580735
20000,5,1.128,3.1452,0.00360735,1.018,3.1422,0.000607346,0.597,3.1396,0.00199265
20000,6,1.12,3.1392,0.00239265,1.149,3.1376,0.00399265,0.662,3.1444,0.00280735
20000,7,1.244,3.1508,0.00920735,1.115,3.1398,0.00179265,0.66,3.1356,0.00599265
20000,8,1.115,3.161,0.0194073,1.104,3.1376,0.00399265,0.62,3.1472,0.00560735
20000,9,1.098,3.1474,0.00580735,1.082,3.1414,0.000192654,0.611,3.1424,0.000807346
20000,10,1.087,3.1348,0.00679265,1.06,3.1416,7.34641e-06,0.597,3.139,0.00259265
50000,1,2.717,3.12504,0.0165527,2.679,3.1392,0.00239265,1.535,3.14352,0.00192735
50000,2,2.901,3.1584,0.0168073,2.795,3.14464,0.00304735,1.569,3.14968,0.00808735
50000,3,2.907,3.14392,0.00232735,2.78,3.13912,0.00247265,1.57,3.14552,0.00392735
50000,4,2.922,3.15112,0.00952735,2.735,3.14216,0.000567346,1.503,3.14576,0.00416735
50000,5,2.59,3.14072,0.000872654,2.48,3.1416,7.34641e-06,1.418,3.14184,0.000247346
50000,6,2.562,3.12856,0.0130327,2.498,3.14288,0.00128735,1.422,3.14368,0.00208735
50000,7,2.585,3.13648,0.00511265,2.486,3.14328,0.00168735,1.42,3.12912,0.0124727
50000,8,2.559,3.13816,0.00343265,2.46,3.13992,0.00167265,1.42,3.13784,0.00375265
50000,9,2.686,3.14544,0.00384735,2.479,3.13736,0.00423265,1.432,3.14384,0.00224735
50000,10,2.55,3.12728,0.0143127,2.473,3.14256,0.000967346,1.471,3.13808,0.00351265
100000,1,5.28,3.14168,8.73464e-05,5.671,3.14016,0.00143265,3.172,3.138,0.00359265
100000,2,5.824,3.13464,0.00695265,5.512,3.1392,0.00239265,3.128,3.1482,0.00660735
100000,3,5.606,3.14316,0.00156735,5.485,3.1414,0.000192654,3.114,3.14632,0.00472735
100000,4,5.597,3.13908,0.00251265,5.561,3.14236,0.000767346,3.12,3.14068,0.000912654
100000,5,5.744,3.1534,0.0118073,5.587,3.13844,0.00315265,3.243,3.12764,0.0139527
100000,6,5.744,3.1356,0.00599265,5.438,3.141,0.000592654,3.091,3.14484,0.00324735
100000,7,5.582,3.14188,0.000287346,5.452,3.14036,0.00123265,3.117,3.13128,0.0103127
100000,8,5.605,3.14536,0.00376735,5.607,3.14096,0.000632654,3.148,3.13884,0.00275265
100000,9,5.715,3.13644,0.00515265,5.562,3.14308,0.00148735,3.12,3.14248,0.000887346
100000,10,5.618,3.13932,0.00227265,5.493,3.14052,0.00107265,3.08,3.1436,0.00200735
200000,1,11.487,3.1456,0.00400735,11.766,3.14304,0.00144735,6.414,3.14062,0.000972654
200000,2,11.299,3.13816,0.00343265,11.248,3.1393,0.00229265,6.451,3.1473,0.00570735
200000,3,11.744,3.14742,0.00582735,11.255,3.13896,0.00263265,6.426,3.14034,0.00125265
200000,4,11.611,3.14238,0.000787346,11.33,3.14396,0.00236735,6.393,3.14164,4.73464e-05
200000,5,11.794,3.14552,0.00392735,11.336,3.13998,0.00161265,6.43,3.1443,0.00270735
200000,6,11.998,3.13654,0.00505265,11.898,3.1439,0.00230735,6.721,3.13848,0.00311265
200000,7,12.045,3.14334,0.00174735,11.767,3.14288,0.00128735,6.741,3.1405,0.00109265
200000,8,12.179,3.12942,0.0121727,11.957,3.14252,0.000927346,6.673,3.14022,0.00137265
200000,9,12.452,3.13646,0.00513265,11.76,3.14038,0.00121265,6.875,3.14226,0.000667346
200000,10,12.567,3.13942,0.00217265,11.93,3.14072,0.000872654,6.679,3.14106,0.000532654
500000,1,32.754,3.13899,0.00260065,25.498,3.14231,0.000719346,15.113,3.14003,0.00156065
500000,2,27.49,3.14379,0.00219935,25.935,3.1422,0.000607346,14.735,3.14326,0.00167135
500000,3,26.925,3.14612,0.00452735,26.135,3.14227,0.000679346,15.297,3.14132,0.000272654
500000,4,27.234,3.14176,0.000167346,26.739,3.14218,0.000591346,15.645,3.14283,0.00123935
500000,5,28.151,3.14054,0.00105665,27.349,3.14229,0.000695346,15.771,3.1409,0.000696654
500000,6,28.34,3.14277,0.00117535,26.428,3.14198,0.000391346,15.793,3.14006,0.00152865
500000,7,27.49,3.14054,0.00104865,26.517,3.14069,0.000904654,14.93,3.14086,0.000736654
500000,8,26.692,3.14014,0.00145665,26.586,3.14182,0.000223346,15.882,3.14193,0.000335346
500000,9,28.705,3.14027,0.00132065,27.33,3.14162,3.13464e-05,15.582,3.14258,0.000991346
500000,10,27.962,3.13916,0.00243265,27.28,3.14174,0.000143346,15.624,3.14087,0.000720654
1000000,1,56.174,3.14312,0.00152735,52.971,3.14142,0.000172654,30.435,3.14218,0.000591346
1000000,2,55.064,3.14264,0.00104335,52.321,3.1418,0.000207346,29.807,3.14377,0.00217535
1000000,3,53.458,3.14244,0.000851346,51.673,3.14095,0.000644654,29.681,3.14108,0.000508654
1000000,4,53.596,3.1416,1.13464e-05,51.278,3.14124,0.000352654,30.616,3.14196,0.000367346
1000000,5,55.803,3.13963,0.00196465,53.943,3.14236,0.000771346,31.19,3.14088,0.000712654
1000000,6,56.406,3.14317,0.00157535,54.798,3.14089,0.000704654,31.292,3.14248,0.000883346
1000000,7,55.884,3.14222,0.000631346,54.115,3.14168,8.73464e-05,31.42,3.1403,0.00129265
1000000,8,56.45,3.14176,0.000167346,54.226,3.14165,5.93464e-05,31.171,3.14158,1.66536e-05
1000000,9,56.103,3.14142,0.000176654,54.242,3.14006,0.00153665,31.363,3.13815,0.00344465
1000000,10,56.678,3.13901,0.00258065,54.472,3.14157,2.46536e-05,31.579,3.14336,0.00176335
2000000,1,113.343,3.14055,0.00104065,110.061,3.14186,0.000267346,60.888,3.14118,0.000408654
2000000,2,109.249,3.14083,0.000766654,106.051,3.14173,0.000137346,62.358,3.14272,0.00112535
2000000,3,112.412,3.13996,0.00163065,108.59,3.1423,0.000705346,62.325,3.14174,0.000151346
2000000,4,111.837,3.1432,0.00160335,108.442,3.14095,0.000644654,62.873,3.14295,0.00135735
2000000,5,112.504,3.14041,0.00118665,107.508,3.14162,2.93464e-05,59.743,3.1416,7.34641e-06
2000000,6,107.342,3.1416,1.13464e-05,103.95,3.14158,1.66536e-05,59.773,3.14081,0.000778654
2000000,7,107.294,3.14169,0.000101346,104.001,3.14192,0.000327346,60.195,3.14225,0.000659346
2000000,8,109.854,3.14337,0.00177535,109.314,3.14164,5.13464e-05,62.805,3.14132,0.000270654
2000000,9,112.499,3.14298,0.00138535,109.504,3.14159,6.65359e-06,63.87,3.1411,0.000492654
2000000,10,113.532,3.14105,0.000542654,109.598,3.14201,0.000421346,63.33,3.14267,0.00107735
5000000,1,274.58,3.14114,0.000452654,262.453,3.14149,0.000107054,151.083,3.14157,2.54536e-05
5000000,2,272.226,3.14114,0.000454254,259.595,3.14188,0.000286546,150.759,3.14225,0.000656946
5000000,3,269.794,3.14085,0.000739854,259.946,3.14177,0.000174546,149.661,3.14181,0.000218546
5000000,4,269.322,3.14195,0.000356146,259.116,3.1417,0.000105746,149.663,3.14189,0.000292946
5000000,5,269.273,3.14218,0.000582546,259.219,3.1414,0.000187854,149.33,3.14189,0.000292946
5000000,6,269.067,3.14201,0.000416146,265.145,3.14183,0.000233746,157.223,3.1408,0.000791854
5000000,7,284.704,3.14199,0.000396146,275.579,3.14093,0.000659854,155.497,3.14191,0.000313746
5000000,8,278.128,3.1421,0.000504146,262.646,3.14148,0.000110254,150.891,3.14125,0.000343854
5000000,9,272.331,3.14154,4.78536e-05,263.088,3.14156,3.66536e-05,152.048,3.14204,0.000448146
5000000,10,271.896,3.14114,0.000455854,259.625,3.14173,0.000136946,150.378,3.14152,7.66536e-05
10000000,1,548.145,3.14129,0.000303454,545.273,3.14168,8.57464e-05,314.244,3.14139,0.000205454
10000000,2,549.159,3.14214,0.000546146,522.574,3.14199,0.000400946,300.584,3.14116,0.000436654
10000000,3,540.158,3.14182,0.000225746,522.533,3.14141,0.000180254,301.608,3.14156,3.42536e-05
10000000,4,541.802,3.14175,0.000152546,522.673,3.14158,7.85359e-06,301.247,3.14149,0.000104654
10000000,5,541.477,3.14067,0.000926254,524.854,3.14132,0.000268254,301.828,3.14043,0.00116145
10000000,6,542.255,3.14122,0.000370254,523.581,3.14144,0.000153854,302.404,3.14135,0.000238654
10000000,7,542.787,3.14081,0.000781854,523.248,3.14146,0.000130254,301.894,3.14099,0.000606254
10000000,8,542.721,3.14061,0.000979854,524.81,3.1416,5.34641e-06,302.468,3.14158,1.38536e-05
10000000,9,545.457,3.14164,4.85464e-05,525.74,3.14149,0.000100254,303.172,3.14128,0.000315054
10000000,10,545.643,3.14215,0.000554146,525.746,3.14152,7.66536e-05,303.5,3.14188,0.000291746
2000000,1,113.028,3.14223,0.000641346,106.328,3.1421,0.000507346,60.641,3.14021,0.00138065
2000000,2,109.045,3.14085,0.000740654,105.034,3.14138,0.000208654,62.397,3.14133,0.000262654
2000000,3,113.741,3.14082,0.000776654,109.901,3.14095,0.000646654,63.156,3.14087,0.000726654
2000000,4,116.654,3.14329,0.00169535,121.129,3.1428,0.00120735,69.479,3.14143,0.000166654
2000000,5,126.13,3.14137,0.000220654,117.395,3.14206,0.000471346,64.966,3.14237,0.000775346
2000000,6,116.402,3.14296,0.00137135,113.254,3.14198,0.000383346,65.389,3.14069,0.000906654
2000000,7,116.797,3.14044,0.00114865,113.668,3.14229,0.000699346,65.113,3.14152,7.26536e-05
2000000,8,117.425,3.14166,6.33464e-05,114.605,3.14191,0.000319346,64.715,3.1429,0.00130335
2000000,9,118.008,3.14216,0.000563346,112.425,3.14131,0.000278654,64.869,3.14321,0.00162135
2000000,10,118.612,3.14193,0.000333346,113.151,3.14111,0.000484654,65.088,3.13915,0.00244465
500000000,1,29601.1,3.14154,5.43256e-05,27687,3.14157,2.48216e-05,16339.6,3.14158,1.74216e-05
500000000,2,27767.1,3.14158,9.88559e-06,28034.5,3.14158,9.02959e-06,15922.1,3.14168,8.31544e-05
500000000,3,28160.9,3.14159,4.1359e-07,27855.6,3.14162,2.35784e-05,16083.9,3.14163,3.60264e-05
500000000,4,28682.3,3.14155,4.76376e-05,27825.3,3.14162,2.75144e-05,15039.3,3.14163,3.82664e-05
500000000,5,28020.4,3.14156,2.84776e-05,27402.3,3.14159,7.7841e-07,16061.4,3.14158,1.74216e-05
500000000,6,27213.2,3.14182,0.000230082,27255.5,3.14159,5.6559e-07,16022.6,3.14162,2.61944e-05
500000000,7,28737.2,3.14147,0.000118686,27676.3,3.14162,2.28824e-05,15918.7,3.14155,3.95096e-05
500000000,8,28694.6,3.1416,5.31441e-06,27717.3,3.14153,5.98856e-05,15927.5,3.14148,0.00011591
500000000,9,28412.5,3.14161,1.31704e-05,27498.6,3.14162,2.95304e-05,15973.9,3.14159,3.22159e-06
500000000,10,28617.7,3.14164,5.15784e-05,27599.6,3.14157,2.68696e-05,15899.3,3.14158,1.17576e-05
100000000,1,5716.69,3.14148,0.000114094,5516.83,3.14177,0.000177106,3193.34,3.1414,0.000196294
100000000,2,5392.52,3.14172,0.000125466,5189.89,3.14155,3.87736e-05,3004.93,3.14147,0.000125934
100000000,3,5736.76,3.14138,0.000217214,5528.4,3.14152,7.61336e-05,3189.1,3.14141,0.000184374
100000000,4,5679.61,3.14174,0.000146826,5538.62,3.14159,7.09359e-06,3185.14,3.14144,0.000155574
100000000,5,5727.08,3.1418,0.000209946,5531.51,3.14157,2.20136e-05,3190.1,3.14166,6.47864e-05
100000000,6,5714.18,3.14191,0.000321946,5527.63,3.14155,4.22536e-05,3182.79,3.14171,0.000114706
100000000,7,5717.5,3.14155,4.74136e-05,5521.3,3.14161,2.16264e-05,3186.97,3.14143,0.000162814
100000000,8,5518.76,3.14162,2.26264e-05,5253.92,3.14159,7.49359e-06,3180.55,3.14152,7.12936e-05
100000000,9,5723.15,3.14146,0.000132134,5518.43,3.14162,2.36664e-05,3174.4,3.14163,3.69864e-05
100000000,10,5698.07,3.14179,0.000196786,5511.14,3.14159,7.53359e-06,3181.87,3.14158,9.49359e-06
